"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","full_metadata_link","investigation_type","sequence_type","collection_date","continent","country","latitude","longitude","PI_organization","PI_organization_address","PI_organization_country","PI_firstname","PI_lastname","PI_email","env_package_full","X","project_id"
"mgm4767711","biome","organic feature","feces","microbial mat|biofilm",NA,"output_reverse_paired.fq","Meta_Dou_test_Sam1","https://api.mg-rast.org/metagenome/mgm4767711.3/metadata?verbosity=full","metagenome","WGS","2017-07-30",NA,"USA",32,44,"Upenn","342,New Boloton center","USA","Dipti","Pitta","dpitta@upenn.edu","{'type': 'microbial mat|biofilm', 'name': 'S01: microbial mat|biofilm', 'data': {'mgrast_id': 'mge621933', 'env_package': 'microbial mat|biofilm', 'sample_name': 'S01'}, 'id': 'mge621933'}",NA,"mgp82562"
"mgm4767712","biome","organic feature","feces","microbial mat|biofilm",NA,"output_forward_paired.fq","Meta_Dou_test_Sam1","https://api.mg-rast.org/metagenome/mgm4767712.3/metadata?verbosity=full","metagenome","WGS","2017-07-30",NA,"USA",32,44,"Upenn","342,New Boloton center","USA","Dipti","Pitta","dpitta@upenn.edu","{'name': 'S02: microbial mat|biofilm', 'id': 'mge621936', 'data': {'mgrast_id': 'mge621936', 'env_package': 'microbial mat|biofilm', 'sample_name': 'S02'}, 'type': 'microbial mat|biofilm'}",NA,"mgp82562"
"mgm4767713","biome","organic feature","feces","microbial mat|biofilm",NA,"CHMI_1892-46894044.fa","Meta_Dou_test_Sam1","https://api.mg-rast.org/metagenome/mgm4767713.3/metadata?verbosity=full","metagenome","WGS","2017-07-30",NA,"USA",32,44,"Upenn","342,New Boloton center","USA","Dipti","Pitta","dpitta@upenn.edu","{'type': 'microbial mat|biofilm', 'data': {'env_package': 'microbial mat|biofilm', 'sample_name': 'S03', 'mgrast_id': 'mge621939'}, 'name': 'S03: microbial mat|biofilm', 'id': 'mge621939'}",NA,"mgp82562"
"mgm4772356","biome","microbial feature","pig manure","miscellaneous",NA,"X001","LI_CBNU","https://api.mg-rast.org/metagenome/mgm4772356.3/metadata?verbosity=full","metagenome","WGS","2015-01-29",NA,"South Korea",35,126,"CBNU","ik-san si gobong ro 79","South Korea","sung hyun","moon","chunsu17@naver.com","{'type': 'miscellaneous', 'name': 'CBNU001: miscellaneous', 'id': 'mge627970', 'data': {'mgrast_id': 'mge627970', 'env_package': 'miscellaneous', 'sample_name': 'CBNU001'}}",NA,"mgp83048"
"mgm4777329","biome","organic feature","feces","microbial mat|biofilm","microbial mat","CHMI_2634","Distribution of AR genes in CompostingRun4","https://api.mg-rast.org/metagenome/mgm4777329.3/metadata?verbosity=full","metagenome","WGS","2017-08-30",NA,"USA",32,44,"Upenn","342,New Boloton center","USA","Dipi","Pitta","dpitta@upenn.edu","{'name': 'Sam1: microbial mat|biofilm', 'id': 'mge635887', 'type': 'microbial mat|biofilm', 'data': {'depth': 1, 'env_package': 'microbial mat|biofilm', 'elevation': 1, 'mgrast_id': 'mge635887', 'sample_name': 'Sam1'}}",NA,"mgp83664"
"mgm4777330","biome","organic feature","feces","microbial mat|biofilm","microbial mat","CHMI_2636","Distribution of AR genes in CompostingRun4","https://api.mg-rast.org/metagenome/mgm4777330.3/metadata?verbosity=full","metagenome","WGS","2017-08-30",NA,"USA",32,44,"Upenn","342,New Boloton center","USA","Dipi","Pitta","dpitta@upenn.edu","{'data': {'depth': 1, 'env_package': 'microbial mat|biofilm', 'elevation': 1, 'mgrast_id': 'mge635893', 'sample_name': 'Sam3'}, 'name': 'Sam3: microbial mat|biofilm', 'id': 'mge635893', 'type': 'microbial mat|biofilm'}",NA,"mgp83664"
"mgm4777331","biome","organic feature","feces","microbial mat|biofilm","microbial mat","CHMI_2648","Distribution of AR genes in CompostingRun4","https://api.mg-rast.org/metagenome/mgm4777331.3/metadata?verbosity=full","metagenome","WGS","2017-08-30",NA,"USA",32,44,"Upenn","342,New Boloton center","USA","Dipi","Pitta","dpitta@upenn.edu","{'type': 'microbial mat|biofilm', 'name': 'Sam15: microbial mat|biofilm', 'data': {'elevation': 1, 'env_package': 'microbial mat|biofilm', 'depth': 1, 'mgrast_id': 'mge635929', 'sample_name': 'Sam15'}, 'id': 'mge635929'}",NA,"mgp83664"
"mgm4777332","biome","organic feature","feces","microbial mat|biofilm","microbial mat","CHMI_2642","Distribution of AR genes in CompostingRun4","https://api.mg-rast.org/metagenome/mgm4777332.3/metadata?verbosity=full","metagenome","WGS","2017-08-30",NA,"USA",32,44,"Upenn","342,New Boloton center","USA","Dipi","Pitta","dpitta@upenn.edu","{'type': 'microbial mat|biofilm', 'id': 'mge635911', 'name': 'Sam9: microbial mat|biofilm', 'data': {'elevation': 1, 'sample_name': 'Sam9', 'env_package': 'microbial mat|biofilm', 'mgrast_id': 'mge635911', 'depth': 1}}",NA,"mgp83664"
"mgm4777333","biome","organic feature","feces","microbial mat|biofilm","microbial mat","CHMI_2645","Distribution of AR genes in CompostingRun4","https://api.mg-rast.org/metagenome/mgm4777333.3/metadata?verbosity=full","metagenome","WGS","2017-08-30",NA,"USA",32,44,"Upenn","342,New Boloton center","USA","Dipi","Pitta","dpitta@upenn.edu","{'id': 'mge635920', 'data': {'env_package': 'microbial mat|biofilm', 'mgrast_id': 'mge635920', 'sample_name': 'Sam12', 'elevation': 1, 'depth': 1}, 'name': 'Sam12: microbial mat|biofilm', 'type': 'microbial mat|biofilm'}",NA,"mgp83664"
"mgm4777334","biome","organic feature","feces","microbial mat|biofilm","microbial mat","CHMI_2635","Distribution of AR genes in CompostingRun4","https://api.mg-rast.org/metagenome/mgm4777334.3/metadata?verbosity=full","metagenome","WGS","2017-08-30",NA,"USA",32,44,"Upenn","342,New Boloton center","USA","Dipi","Pitta","dpitta@upenn.edu","{'type': 'microbial mat|biofilm', 'name': 'Sam2: microbial mat|biofilm', 'data': {'sample_name': 'Sam2', 'mgrast_id': 'mge635890', 'depth': 1, 'elevation': 1, 'env_package': 'microbial mat|biofilm'}, 'id': 'mge635890'}",NA,"mgp83664"
