"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","full_metadata_link","investigation_type","sequence_type","collection_date","continent","country","latitude","longitude","PI_organization","PI_organization_address","PI_organization_country","PI_firstname","PI_lastname","PI_email","env_package_full","X","project_id"
"mgm4461341","feces","feces","feces","host-associated",NA,"AfElphSD3.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461341.3/metadata?verbosity=full","metagenome","WGS",NA,"north_america","United States of America",32.736585,-117.151475,NA,NA,NA,NA,NA,NA,"{'id': 'mge38067', 'data': {'env_package': 'host-associated', 'host_subject_id': 'AfElphSD3', 'body_product': 'feces', 'diet': 'Herbivore', 'organism_count': 'Samples from 3 elephants were pooled', 'host_growth_cond': 'captivity', 'samp_store_temp': '-80 , Celsius', 'host_common_name': 'African elephant', 'host_taxid': '9785', 'sample_name': 'AfElphSD3', 'body_site': 'gut'}, 'name': 'mge38067', 'type': 'host-associated'}",NA,"mgp116"
"mgm4461342","feces","feces","feces","host-associated",NA,"Armadillo.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461342.3/metadata?verbosity=full","metagenome","WGS",NA,"north_america","United States of America",38.633556,-90.29137,NA,NA,NA,NA,NA,NA,"{'data': {'host_growth_cond': 'captivity', 'host_taxid': '183749', 'body_site': 'gut', 'body_product': 'feces', 'sample_name': 'Armadillo', 'host_subject_id': 'Armadillo', 'env_package': 'host-associated', 'diet': 'Carnivore', 'host_common_name': 'Southern three-toed armadillo', 'samp_store_temp': '-80 , Celsius'}, 'id': 'mge38059', 'type': 'host-associated', 'name': 'mge38059'}",NA,"mgp116"
"mgm4461343","feces","feces","feces","host-associated",NA,"BaboonSTL.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461343.3/metadata?verbosity=full","metagenome","WGS",NA,"north_america","United States of America",38.633556,-90.29137,NA,NA,NA,NA,NA,NA,"{'id': 'mge38104', 'data': {'host_growth_cond': 'captivity', 'host_common_name': 'Hamadryas baboon', 'diet': 'Omnivore', 'sample_name': 'BaboonSTL', 'host_subject_id': 'BaboonSTL', 'body_site': 'gut', 'body_product': 'feces', 'env_package': 'host-associated', 'host_taxid': '9557', 'samp_store_temp': '-20 , Celsius'}, 'type': 'host-associated', 'name': 'mge38104'}",NA,"mgp116"
"mgm4461344","feces","feces","feces","host-associated",NA,"BaboonW.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461344.3/metadata?verbosity=full","metagenome","WGS",NA,"africa","Namibia",18.49041,-117.151475,NA,NA,NA,NA,NA,NA,"{'type': 'host-associated', 'id': 'mge38108', 'data': {'diet': 'Omnivore', 'host_growth_cond': 'captivity', 'samp_store_temp': '-20 , Celsius', 'host_subject_id': 'BaboonW', 'body_product': 'feces', 'host_taxid': '9557', 'sample_name': 'BaboonW', 'env_package': 'host-associated', 'host_common_name': 'Hamadryas baboon', 'body_site': 'gut'}, 'name': 'mge38108'}",NA,"mgp116"
"mgm4461345","feces","feces","feces","host-associated",NA,"BigHornSD.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461345.3/metadata?verbosity=full","metagenome","WGS",NA,"north_america","United States of America",32.736585,-117.151475,NA,NA,NA,NA,NA,NA,"{'data': {'host_subject_id': 'BigHornSD', 'sample_name': 'BigHornSD', 'env_package': 'host-associated', 'body_site': 'gut', 'host_taxid': '37174', 'host_common_name': 'BigHorn sheep', 'host_growth_cond': 'captivity', 'samp_store_temp': '-80 , Celsius', 'body_product': 'feces', 'diet': 'Herbivore'}, 'type': 'host-associated', 'id': 'mge38091', 'name': 'mge38091'}",NA,"mgp116"
"mgm4461346","feces","feces","feces","host-associated",NA,"BigHornW3.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461346.3/metadata?verbosity=full","metagenome","WGS",NA,"north_america","United States of America",39.55005,-105.782067,NA,NA,NA,NA,NA,NA,"{'id': 'mge38061', 'data': {'body_site': 'gut', 'env_package': 'host-associated', 'host_taxid': '37174', 'samp_store_temp': '-80 , Celsius', 'body_product': 'feces', 'host_subject_id': 'BigHornW', 'host_common_name': 'BigHorn sheep', 'host_growth_cond': 'wild', 'sample_name': 'BigHornW3', 'diet': 'Herbivore'}, 'type': 'host-associated', 'name': 'mge38061'}",NA,"mgp116"
"mgm4461347","feces","feces","feces","host-associated",NA,"BlackBr2.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461347.3/metadata?verbosity=full","metagenome","WGS",NA,"north_america","United States of America",38.633556,-90.29137,NA,NA,NA,NA,NA,NA,"{'type': 'host-associated', 'id': 'mge38078', 'data': {'body_product': 'feces', 'diet': 'Omnivore', 'samp_store_temp': '-80 , Celsius', 'host_taxid': '9643', 'sample_name': 'BlackBr2', 'host_common_name': 'North American black bear', 'host_growth_cond': 'captivity', 'host_subject_id': 'BlackBr2', 'body_site': 'gut', 'env_package': 'host-associated'}, 'name': 'mge38078'}",NA,"mgp116"
"mgm4461348","feces","feces","feces","host-associated",NA,"BlackLemur.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461348.3/metadata?verbosity=full","metagenome","WGS",NA,"north_america","United States of America",38.633556,-90.29137,NA,NA,NA,NA,NA,NA,"{'data': {'body_product': 'feces', 'diet': 'Omnivore', 'host_subject_id': 'BlackLemur', 'samp_store_temp': '-80 , Celsius', 'host_growth_cond': 'captivity', 'env_package': 'host-associated', 'host_common_name': 'Black lemur', 'sample_name': 'BlackLemur', 'host_taxid': '30602', 'body_site': 'gut'}, 'name': 'mge38075', 'type': 'host-associated', 'id': 'mge38075'}",NA,"mgp116"
"mgm4461349","feces","feces","feces","host-associated",NA,"BlackRhino1.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461349.3/metadata?verbosity=full","metagenome","WGS",NA,"north_america","United States of America",38.633556,-90.29137,NA,NA,NA,NA,NA,NA,"{'name': 'mge38063', 'data': {'host_taxid': '9805', 'samp_store_temp': '-80 , Celsius', 'sample_name': 'BlackRhino1', 'body_site': 'gut', 'env_package': 'host-associated', 'host_growth_cond': 'captivity', 'host_subject_id': 'BlackRhino1', 'diet': 'Herbivore', 'host_common_name': 'Black rhinoceros', 'body_product': 'feces'}, 'id': 'mge38063', 'type': 'host-associated'}",NA,"mgp116"
"mgm4461350","feces","feces","feces","host-associated",NA,"BushDog1.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461350.3/metadata?verbosity=full","metagenome","WGS",NA,"north_america","United States of America",38.633556,-90.29137,NA,NA,NA,NA,NA,NA,"{'id': 'mge38076', 'data': {'body_product': 'feces', 'host_growth_cond': 'captivity', 'sample_name': 'BushDog1', 'diet': 'Carnivore', 'env_package': 'host-associated', 'host_taxid': '68741', 'body_site': 'gut', 'host_common_name': 'Bush dog', 'host_subject_id': 'Bushdog1', 'samp_store_temp': '-80 , Celsius'}, 'name': 'mge38076', 'type': 'host-associated'}",NA,"mgp116"
"mgm4461351","feces","feces","feces","host-associated",NA,"Callimicos.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461351.3/metadata?verbosity=full","metagenome","WGS",NA,"north_america","United States of America",38.633556,-90.29137,NA,NA,NA,NA,NA,NA,"{'data': {'body_product': 'feces', 'sample_name': 'Callimicos', 'body_site': 'gut', 'host_common_name': Goeldi's marmoset, 'host_growth_cond': 'captivity', 'diet': 'Omnivore', 'samp_store_temp': '-80 , Celsius', 'host_subject_id': 'Callimicos', 'env_package': 'host-associated', 'host_taxid': '9495'}, 'type': 'host-associated', 'name': 'mge38100', 'id': 'mge38100'}",NA,"mgp116"
"mgm4461352","feces","feces","feces","host-associated",NA,"Capybara.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461352.3/metadata?verbosity=full","metagenome","WGS",NA,"north_america","United States of America",38.633556,-90.29137,NA,NA,NA,NA,NA,NA,"{'data': {'env_package': 'host-associated', 'host_common_name': 'Capybara', 'samp_store_temp': '-80 , Celsius', 'host_taxid': '10149', 'host_growth_cond': 'captivity', 'diet': 'Herbivore', 'body_product': 'feces', 'sample_name': 'Capybara', 'body_site': 'gut'}, 'id': 'mge38099', 'type': 'host-associated', 'name': 'mge38099'}",NA,"mgp116"
"mgm4461353","feces","feces","feces","host-associated",NA,"Chimp1.MG","muegge_mammals_paper_mammal_samples_MG","https://api.mg-rast.org/metagenome/mgm4461353.3/metadata?verbosity=full","metagenome","WGS",NA,"north_america","United States of America",38.633556,-90.29137,NA,NA,NA,NA,NA,NA,"{'id': 'mge38087', 'type': 'host-associated', 'name': 'mge38087', 'data': {'body_product': 'feces', 'host_growth_cond': 'captivity', 'sample_name': 'Chimp1', 'host_taxid': '9598', 'host_subject_id': 'Chimp1', 'env_package': 'host-associated', 'diet': 'Omnivore', 'body_site': 'gut', 'host_common_name': 'Chimpanzee', 'samp_store_temp': '-80 , Celsius'}}",NA,"mgp116"
