"samples","biome","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","full_metadata_link","investigation_type","sequence_type","collection_date","continent","country","latitude","longitude","PI_organization","PI_organization_address","PI_organization_country","PI_firstname","PI_lastname","PI_email","env_package_full","X","project_id"
"mgm4449103","oceanic epipelagic zone biome","marine oligotrophic desert","water","water",NA,"BIOS Microbial Oceanography Course 2010 MGMO-09-3_200m","BIOS Microbial Oceanography Course","https://api.mg-rast.org/metagenome/mgm4449103.3/metadata?verbosity=full","metagenome","WGS","2009-10-03","north america","Bermuda",32.17,-64.5,"University of California, Santa Barbara","Marine Science Institute, University of California, Santa Barbara, CA, 93106, USA","USA","Craig","Carlson","craig.carlson@lifesci.ucsb.edu","{'type': 'water', 'name': 'MGMO-09-3_200m: water', 'data': {'misc_param_1': 'env_package: water', 'mgrast_id': 'mge139899', 'sample_name': 'MGMO-09-3_200m', 'env_package': 'water'}, 'id': 'mge139899'}",NA,"mgp1167"
"mgm4449104","oceanic epipelagic zone biome","marine oligotrophic desert","water","water",NA,"BIOS Microbial Oceanography Course 2010 MGMO-09-3_010m","BIOS Microbial Oceanography Course","https://api.mg-rast.org/metagenome/mgm4449104.3/metadata?verbosity=full","metagenome","WGS","2009-10-03","north america","Bermuda",32.17,-64.5,"University of California, Santa Barbara","Marine Science Institute, University of California, Santa Barbara, CA, 93106, USA","USA","Craig","Carlson","craig.carlson@lifesci.ucsb.edu","{'data': {'mgrast_id': 'mge139896', 'misc_param_1': 'env_package: water', 'sample_name': 'MGMO-09-3_010m', 'env_package': 'water'}, 'name': 'MGMO-09-3_010m: water', 'id': 'mge139896', 'type': 'water'}",NA,"mgp1167"
"mgm4461593","oceanic epipelagic zone biome","archipelago","sea water","water",NA,"AnaPaula_PE22-1","The influence of global climatic changes over the vitality of corals from St Peter and St Paul Archipelago","https://api.mg-rast.org/metagenome/mgm4461593.3/metadata?verbosity=full","metagenome","WGS","2010-09-22",NA,"Brazil",0.933333333333333,-29.3666666666667,"UFRJ","Av. Carlos Chagas Fo., 373","Brazil","Ana Paula","B. Moreira","anapaula.biomar.ufrj@gmail.com","{'id': 'mge389265', 'type': 'water', 'data': {'env_package': 'water', 'sample_name': '1AnaPaula_PE22'}, 'name': '1AnaPaula_PE22: water'}",NA,"mgp3395"
"mgm4461594","oceanic epipelagic zone biome","archipelago","sea water","water",NA,"AnaPaula_PE14-1","The influence of global climatic changes over the vitality of corals from St Peter and St Paul Archipelago","https://api.mg-rast.org/metagenome/mgm4461594.3/metadata?verbosity=full","metagenome","WGS","2010-09-14",NA,"Brazil",0.933333333333333,-29.3666666666667,"UFRJ","Av. Carlos Chagas Fo., 373","Brazil","Ana Paula","B. Moreira","anapaula.biomar.ufrj@gmail.com","{'data': {'env_package': 'water', 'sample_name': '1AnaPaula_PE14'}, 'type': 'water', 'id': 'mge389238', 'name': '1AnaPaula_PE14: water'}",NA,"mgp3395"
"mgm4463925","oceanic epipelagic zone biome","archipelago","sea water","water",NA,"AnaPaula_PE22-3","The influence of global climatic changes over the vitality of corals from St Peter and St Paul Archipelago","https://api.mg-rast.org/metagenome/mgm4463925.3/metadata?verbosity=full","metagenome","WGS","2010-09-22",NA,"Brazil",0.933333333333333,-29.3666666666667,"UFRJ","Av. Carlos Chagas Fo., 373","Brazil","Ana Paula","B. Moreira","anapaula.biomar.ufrj@gmail.com","{'id': 'mge389271', 'data': {'sample_name': '3AnaPaula_PE22', 'env_package': 'water'}, 'name': '3AnaPaula_PE22: water', 'type': 'water'}",NA,"mgp3395"
"mgm4463926","oceanic epipelagic zone biome","archipelago","sea water","water",NA,"AnaPaula_PE22-2","The influence of global climatic changes over the vitality of corals from St Peter and St Paul Archipelago","https://api.mg-rast.org/metagenome/mgm4463926.3/metadata?verbosity=full","metagenome","WGS","2010-09-22",NA,"Brazil",0.933333333333333,-29.3666666666667,"UFRJ","Av. Carlos Chagas Fo., 373","Brazil","Ana Paula","B. Moreira","anapaula.biomar.ufrj@gmail.com","{'type': 'water', 'name': '2AnaPaula_PE22: water', 'data': {'env_package': 'water', 'sample_name': '2AnaPaula_PE22'}, 'id': 'mge389268'}",NA,"mgp3395"
"mgm4463927","oceanic epipelagic zone biome","archipelago","sea water","water",NA,"AnaPaula_PE18-1","The influence of global climatic changes over the vitality of corals from St Peter and St Paul Archipelago","https://api.mg-rast.org/metagenome/mgm4463927.3/metadata?verbosity=full","metagenome","WGS","2010-09-18",NA,"Brazil",0.933333333333333,-29.3666666666667,"UFRJ","Av. Carlos Chagas Fo., 373","Brazil","Ana Paula","B. Moreira","anapaula.biomar.ufrj@gmail.com","{'name': '1AnaPaula_PE18: water', 'id': 'mge389256', 'data': {'sample_name': '1AnaPaula_PE18', 'env_package': 'water'}, 'type': 'water'}",NA,"mgp3395"
"mgm4463928","oceanic epipelagic zone biome","archipelago","sea water","water",NA,"AnaPaula_PE18-3","The influence of global climatic changes over the vitality of corals from St Peter and St Paul Archipelago","https://api.mg-rast.org/metagenome/mgm4463928.3/metadata?verbosity=full","metagenome","WGS","2010-09-18",NA,"Brazil",0.933333333333333,-29.3666666666667,"UFRJ","Av. Carlos Chagas Fo., 373","Brazil","Ana Paula","B. Moreira","anapaula.biomar.ufrj@gmail.com","{'data': {'env_package': 'water', 'sample_name': '3AnaPaula_PE18'}, 'type': 'water', 'id': 'mge389262', 'name': '3AnaPaula_PE18: water'}",NA,"mgp3395"
"mgm4463929","oceanic epipelagic zone biome","archipelago","sea water","water",NA,"AnaPaula_PE15-2","The influence of global climatic changes over the vitality of corals from St Peter and St Paul Archipelago","https://api.mg-rast.org/metagenome/mgm4463929.3/metadata?verbosity=full","metagenome","WGS","2010-09-15",NA,"Brazil",0.933333333333333,-29.3666666666667,"UFRJ","Av. Carlos Chagas Fo., 373","Brazil","Ana Paula","B. Moreira","anapaula.biomar.ufrj@gmail.com","{'id': 'mge389250', 'data': {'sample_name': '2AnaPaula_PE15', 'env_package': 'water'}, 'name': '2AnaPaula_PE15: water', 'type': 'water'}",NA,"mgp3395"
"mgm4463930","oceanic epipelagic zone biome","archipelago","sea water","water",NA,"AnaPaula_PE15-1","The influence of global climatic changes over the vitality of corals from St Peter and St Paul Archipelago","https://api.mg-rast.org/metagenome/mgm4463930.3/metadata?verbosity=full","metagenome","WGS","2010-09-15",NA,"Brazil",0.933333333333333,-29.3666666666667,"UFRJ","Av. Carlos Chagas Fo., 373","Brazil","Ana Paula","B. Moreira","anapaula.biomar.ufrj@gmail.com","{'name': '1AnaPaula_PE15: water', 'type': 'water', 'id': 'mge389247', 'data': {'sample_name': '1AnaPaula_PE15', 'env_package': 'water'}}",NA,"mgp3395"
